client_code,company_name,contact_person,contact_email,country,total_balance
CLT-0376,Quantum Partners 376,Bob Smith,contact.376@client-376.com,GB,231367041.27
CLT-0488,Pinnacle Wealth 488,Iris Clark,contact.488@client-488.com,IT,230806981.34
CLT-0715,Vega Finance 715,Karen Hughes,contact.715@client-715.com,SG,230597859.42
CLT-0498,Titan Fund 498,David Brown,contact.498@client-498.com,FR,230245473.01
CLT-0009,Horizon Trust 9,James Taylor,contact.9@client-9.com,LU,229805945.94
CLT-0397,Summit Securities 397,Henry Martin,contact.397@client-397.com,ES,228541249.65
CLT-0214,Nexus Group 214,Emma Davis,contact.214@client-214.com,NL,227916042.30
CLT-0411,Pegasus Asset Management 411,Grace Lee,contact.411@client-411.com,BE,226116963.68
CLT-0127,Summit Securities 127,Henry Martin,contact.127@client-127.com,ES,225809800.81
CLT-0648,Titan Fund 648,David Brown,contact.648@client-648.com,FR,225497150.32
CLT-0615,Aurora Capital 615,Alice Johnson,contact.615@client-615.com,US,225494222.79
CLT-0547,Summit Securities 547,Henry Martin,contact.547@client-547.com,ES,225491385.68
CLT-0069,Horizon Trust 69,James Taylor,contact.69@client-69.com,LU,225481434.43
CLT-0839,Rigel Global 839,Olivia Patel,contact.839@client-839.com,CA,224946772.43
CLT-0999,Horizon Trust 999,James Taylor,contact.999@client-999.com,LU,224915740.26
CLT-0565,Vega Finance 565,Karen Hughes,contact.565@client-565.com,SG,224774650.23
CLT-0502,Neptune Securities 502,Henry Martin,contact.502@client-502.com,ES,223882653.54
CLT-0934,Nexus Group 934,Emma Davis,contact.934@client-934.com,NL,223812298.74
CLT-0394,Nexus Group 394,Emma Davis,contact.394@client-394.com,NL,223268836.39
CLT-0137,Helios Investments 137,Carol White,contact.137@client-137.com,DE,223254777.54
CLT-0819,Horizon Trust 819,James Taylor,contact.819@client-819.com,LU,223210200.15
CLT-0895,Vega Finance 895,Karen Hughes,contact.895@client-895.com,SG,222827888.25
CLT-0772,Neptune Securities 772,Henry Martin,contact.772@client-772.com,ES,222729070.09
CLT-0173,Jupiter Wealth 173,Iris Clark,contact.173@client-173.com,IT,222006247.66
CLT-0751,Zenith Partners 751,Bob Smith,contact.751@client-751.com,GB,221754427.40
CLT-0507,Andromeda Insurance 507,Maria Santos,contact.507@client-507.com,JP,221442170.40
CLT-0142,Neptune Securities 142,Henry Martin,contact.142@client-142.com,ES,221386476.95
CLT-0355,Vega Finance 355,Karen Hughes,contact.355@client-355.com,SG,221078871.95
CLT-0046,Quantum Partners 46,Bob Smith,contact.46@client-46.com,GB,220976238.53
CLT-0475,Vega Finance 475,Karen Hughes,contact.475@client-475.com,SG,220969557.70
CLT-0519,Horizon Trust 519,James Taylor,contact.519@client-519.com,LU,220806961.82
CLT-0869,Rigel Global 869,Olivia Patel,contact.869@client-869.com,CA,220705121.29
CLT-0969,Horizon Trust 969,James Taylor,contact.969@client-969.com,LU,220560934.93
CLT-0165,Aurora Capital 165,Alice Johnson,contact.165@client-165.com,US,220305723.26
CLT-0846,Vertex Asset Management 846,Grace Lee,contact.846@client-846.com,BE,219561861.66
CLT-0364,Nexus Group 364,Emma Davis,contact.364@client-364.com,NL,219493312.63
CLT-0679,Phoenix Group 679,Emma Davis,contact.679@client-679.com,NL,219467931.20
CLT-0973,Solaris Pension 973,Noah Kim,contact.973@client-973.com,AU,219246119.77
CLT-0783,Orion Fund 783,David Brown,contact.783@client-783.com,FR,218874426.23
CLT-0515,Apex Holdings 515,Frank Wilson,contact.515@client-515.com,CH,218833811.32
CLT-0511,Zenith Partners 511,Bob Smith,contact.511@client-511.com,GB,218741407.38
CLT-0145,Vega Finance 145,Karen Hughes,contact.145@client-145.com,SG,218486724.68
CLT-0937,Summit Securities 937,Henry Martin,contact.937@client-937.com,ES,218456062.30
CLT-0004,Nexus Group 4,Emma Davis,contact.4@client-4.com,NL,218422156.48
CLT-0841,Zenith Partners 841,Bob Smith,contact.841@client-841.com,GB,218366189.48
CLT-0682,Neptune Securities 682,Henry Martin,contact.682@client-682.com,ES,218238493.55
CLT-0178,Centaurus Pension 178,Noah Kim,contact.178@client-178.com,AU,217634217.80
CLT-0548,Pinnacle Wealth 548,Iris Clark,contact.548@client-548.com,IT,217609114.23
CLT-0929,Rigel Global 929,Olivia Patel,contact.929@client-929.com,CA,216927356.57
CLT-0522,Cascade Insurance 522,Maria Santos,contact.522@client-522.com,JP,216588511.45
CLT-0358,Centaurus Pension 358,Noah Kim,contact.358@client-358.com,AU,216330038.10
CLT-0422,Atlas Investments 422,Carol White,contact.422@client-422.com,DE,216229355.59
CLT-0213,Orion Fund 213,David Brown,contact.213@client-213.com,FR,216149505.20
CLT-0233,Jupiter Wealth 233,Iris Clark,contact.233@client-233.com,IT,215677283.83
CLT-0646,Quantum Partners 646,Bob Smith,contact.646@client-646.com,GB,215285389.40
CLT-0346,Quantum Partners 346,Bob Smith,contact.346@client-346.com,GB,215171891.46
CLT-0536,Sirius Bank 536,Liam Chen,contact.536@client-536.com,HK,214641779.94
CLT-0059,Rigel Global 59,Olivia Patel,contact.59@client-59.com,CA,214379072.03
CLT-0991,Zenith Partners 991,Bob Smith,contact.991@client-991.com,GB,214340750.47
CLT-0601,Zenith Partners 601,Bob Smith,contact.601@client-601.com,GB,214213166.40
CLT-0124,Nexus Group 124,Emma Davis,contact.124@client-124.com,NL,214117309.01
CLT-0647,Helios Investments 647,Carol White,contact.647@client-647.com,DE,213600191.61
CLT-0098,Pinnacle Wealth 98,Iris Clark,contact.98@client-98.com,IT,213428569.59
CLT-0940,Sterling Finance 940,Karen Hughes,contact.940@client-940.com,SG,212774171.41
CLT-0461,Meridian Bank 461,Liam Chen,contact.461@client-461.com,HK,212761264.63
CLT-0223,Solaris Pension 223,Noah Kim,contact.223@client-223.com,AU,212751812.60
CLT-0267,Andromeda Insurance 267,Maria Santos,contact.267@client-267.com,JP,211845559.44
CLT-0175,Vega Finance 175,Karen Hughes,contact.175@client-175.com,SG,211823372.77
CLT-0345,Aurora Capital 345,Alice Johnson,contact.345@client-345.com,US,211175314.63
CLT-0859,Phoenix Group 859,Emma Davis,contact.859@client-859.com,NL,211125740.08
CLT-0116,Sirius Bank 116,Liam Chen,contact.116@client-116.com,HK,210938155.53
CLT-0756,Vertex Asset Management 756,Grace Lee,contact.756@client-756.com,BE,210766268.95
CLT-0118,Centaurus Pension 118,Noah Kim,contact.118@client-118.com,AU,210762979.71
CLT-0414,Saturn Trust 414,James Taylor,contact.414@client-414.com,LU,210456170.70
CLT-0106,Quantum Partners 106,Bob Smith,contact.106@client-106.com,GB,210143546.68
CLT-0354,Saturn Trust 354,James Taylor,contact.354@client-354.com,LU,209955066.45
CLT-0161,Meridian Bank 161,Liam Chen,contact.161@client-161.com,HK,209819161.15
CLT-0219,Horizon Trust 219,James Taylor,contact.219@client-219.com,LU,209669346.82
CLT-0478,Centaurus Pension 478,Noah Kim,contact.478@client-478.com,AU,209147602.78
CLT-0225,Aurora Capital 225,Alice Johnson,contact.225@client-225.com,US,209075920.40
CLT-0905,Apex Holdings 905,Frank Wilson,contact.905@client-905.com,CH,208601326.89
CLT-0798,Titan Fund 798,David Brown,contact.798@client-798.com,FR,208570011.48
CLT-0820,Sterling Finance 820,Karen Hughes,contact.820@client-820.com,SG,208505349.26
CLT-0723,Orion Fund 723,David Brown,contact.723@client-723.com,FR,208248716.71
CLT-0974,Polaris Global 974,Olivia Patel,contact.974@client-974.com,CA,208209855.89
CLT-0320,Olympus Holdings 320,Frank Wilson,contact.320@client-320.com,CH,207853331.20
CLT-0236,Sirius Bank 236,Liam Chen,contact.236@client-236.com,HK,207507851.59
CLT-0821,Meridian Bank 821,Liam Chen,contact.821@client-821.com,HK,207075940.88
CLT-0617,Helios Investments 617,Carol White,contact.617@client-617.com,DE,206977638.71
CLT-0285,Aurora Capital 285,Alice Johnson,contact.285@client-285.com,US,206783974.36
CLT-0158,Pinnacle Wealth 158,Iris Clark,contact.158@client-158.com,IT,206623627.42
CLT-0421,Zenith Partners 421,Bob Smith,contact.421@client-421.com,GB,206510958.82
CLT-0581,Meridian Bank 581,Liam Chen,contact.581@client-581.com,HK,206099787.67
CLT-0977,Helios Investments 977,Carol White,contact.977@client-977.com,DE,205907769.19
CLT-0921,Pegasus Asset Management 921,Grace Lee,contact.921@client-921.com,BE,205483385.18
CLT-0790,Sterling Finance 790,Karen Hughes,contact.790@client-790.com,SG,205357744.85
CLT-0614,Polaris Global 614,Olivia Patel,contact.614@client-614.com,CA,205247963.55
CLT-0926,Sirius Bank 926,Liam Chen,contact.926@client-926.com,HK,205178551.27
CLT-0294,Saturn Trust 294,James Taylor,contact.294@client-294.com,LU,205097927.88
CLT-0312,Cascade Insurance 312,Maria Santos,contact.312@client-312.com,JP,204774788.11
CLT-0641,Meridian Bank 641,Liam Chen,contact.641@client-641.com,HK,204531093.90
CLT-0671,Meridian Bank 671,Liam Chen,contact.671@client-671.com,HK,204116577.43
CLT-0199,Phoenix Group 199,Emma Davis,contact.199@client-199.com,NL,203932667.67
CLT-0954,Saturn Trust 954,James Taylor,contact.954@client-954.com,LU,203766376.37
CLT-0441,Pegasus Asset Management 441,Grace Lee,contact.441@client-441.com,BE,203395940.52
CLT-0722,Atlas Investments 722,Carol White,contact.722@client-722.com,DE,203206636.65
CLT-0202,Neptune Securities 202,Henry Martin,contact.202@client-202.com,ES,202481963.36
CLT-0297,Andromeda Insurance 297,Maria Santos,contact.297@client-297.com,JP,202395063.21
CLT-0237,Andromeda Insurance 237,Maria Santos,contact.237@client-237.com,JP,202095255.23
CLT-0255,Aurora Capital 255,Alice Johnson,contact.255@client-255.com,US,202076880.18
CLT-0928,Centaurus Pension 928,Noah Kim,contact.928@client-928.com,AU,201796662.34
CLT-0501,Pegasus Asset Management 501,Grace Lee,contact.501@client-501.com,BE,201705093.27
CLT-0561,Pegasus Asset Management 561,Grace Lee,contact.561@client-561.com,BE,201474766.13
CLT-0272,Atlas Investments 272,Carol White,contact.272@client-272.com,DE,201383589.95
CLT-0107,Helios Investments 107,Carol White,contact.107@client-107.com,DE,201252758.49
CLT-0413,Jupiter Wealth 413,Iris Clark,contact.413@client-413.com,IT,201159299.86
CLT-0031,Zenith Partners 31,Bob Smith,contact.31@client-31.com,GB,201118819.18
CLT-0474,Saturn Trust 474,James Taylor,contact.474@client-474.com,LU,201055169.84
CLT-0951,Pegasus Asset Management 951,Grace Lee,contact.951@client-951.com,BE,200767096.09
CLT-0011,Meridian Bank 11,Liam Chen,contact.11@client-11.com,HK,200356420.76
CLT-0533,Jupiter Wealth 533,Iris Clark,contact.533@client-533.com,IT,200168283.60
CLT-0417,Andromeda Insurance 417,Maria Santos,contact.417@client-417.com,JP,199870952.63
CLT-0703,Solaris Pension 703,Noah Kim,contact.703@client-703.com,AU,199410329.56
CLT-0280,Sterling Finance 280,Karen Hughes,contact.280@client-280.com,SG,199374276.81
CLT-0784,Nexus Group 784,Emma Davis,contact.784@client-784.com,NL,199222593.08
CLT-0914,Polaris Global 914,Olivia Patel,contact.914@client-914.com,CA,198907536.66
CLT-0562,Neptune Securities 562,Henry Martin,contact.562@client-562.com,ES,198832242.14
CLT-0551,Meridian Bank 551,Liam Chen,contact.551@client-551.com,HK,198780840.64
CLT-0371,Meridian Bank 371,Liam Chen,contact.371@client-371.com,HK,198695814.58
CLT-0761,Meridian Bank 761,Liam Chen,contact.761@client-761.com,HK,198694554.24
CLT-0230,Olympus Holdings 230,Frank Wilson,contact.230@client-230.com,CH,198005476.54
CLT-0128,Pinnacle Wealth 128,Iris Clark,contact.128@client-128.com,IT,197979342.01
CLT-0753,Orion Fund 753,David Brown,contact.753@client-753.com,FR,197879177.90
CLT-0953,Jupiter Wealth 953,Iris Clark,contact.953@client-953.com,IT,197637453.62
CLT-0058,Centaurus Pension 58,Noah Kim,contact.58@client-58.com,AU,197572150.13
CLT-0108,Titan Fund 108,David Brown,contact.108@client-108.com,FR,197233812.90
CLT-0110,Olympus Holdings 110,Frank Wilson,contact.110@client-110.com,CH,197222123.23
CLT-0014,Polaris Global 14,Olivia Patel,contact.14@client-14.com,CA,196777183.53
CLT-0172,Neptune Securities 172,Henry Martin,contact.172@client-172.com,ES,196230993.29
CLT-0017,Helios Investments 17,Carol White,contact.17@client-17.com,DE,196150707.66
CLT-0888,Titan Fund 888,David Brown,contact.888@client-888.com,FR,195873112.29
CLT-0483,Orion Fund 483,David Brown,contact.483@client-483.com,FR,195838859.59
CLT-0065,Apex Holdings 65,Frank Wilson,contact.65@client-65.com,CH,195743679.11
CLT-0245,Apex Holdings 245,Frank Wilson,contact.245@client-245.com,CH,195604957.41
CLT-0471,Pegasus Asset Management 471,Grace Lee,contact.471@client-471.com,BE,195452320.53
CLT-0239,Rigel Global 239,Olivia Patel,contact.239@client-239.com,CA,195244440.31
CLT-0191,Meridian Bank 191,Liam Chen,contact.191@client-191.com,HK,195024816.54
CLT-0677,Helios Investments 677,Carol White,contact.677@client-677.com,DE,194932231.14
CLT-0003,Orion Fund 3,David Brown,contact.3@client-3.com,FR,194799531.05
CLT-0766,Quantum Partners 766,Bob Smith,contact.766@client-766.com,GB,193953928.20
CLT-0453,Orion Fund 453,David Brown,contact.453@client-453.com,FR,193835148.92
CLT-0513,Orion Fund 513,David Brown,contact.513@client-513.com,FR,193713767.24
CLT-0988,Centaurus Pension 988,Noah Kim,contact.988@client-988.com,AU,193497491.67
CLT-0281,Meridian Bank 281,Liam Chen,contact.281@client-281.com,HK,192979738.39
CLT-0278,Pinnacle Wealth 278,Iris Clark,contact.278@client-278.com,IT,192603693.30
CLT-0252,Cascade Insurance 252,Maria Santos,contact.252@client-252.com,JP,192385312.47
CLT-0339,Horizon Trust 339,James Taylor,contact.339@client-339.com,LU,192298687.87
CLT-0877,Summit Securities 877,Henry Martin,contact.877@client-877.com,ES,192068019.30
CLT-0655,Vega Finance 655,Karen Hughes,contact.655@client-655.com,SG,191797641.27
CLT-0481,Zenith Partners 481,Bob Smith,contact.481@client-481.com,GB,191777657.93
CLT-0302,Atlas Investments 302,Carol White,contact.302@client-302.com,DE,191695837.80
CLT-0331,Zenith Partners 331,Bob Smith,contact.331@client-331.com,GB,191491958.60
CLT-0482,Atlas Investments 482,Carol White,contact.482@client-482.com,DE,191074617.78
CLT-0074,Polaris Global 74,Olivia Patel,contact.74@client-74.com,CA,191073653.25
CLT-0372,Cascade Insurance 372,Maria Santos,contact.372@client-372.com,JP,190953422.26
CLT-0993,Orion Fund 993,David Brown,contact.993@client-993.com,FR,190862466.20
CLT-0822,Cascade Insurance 822,Maria Santos,contact.822@client-822.com,JP,190175825.00
CLT-0148,Centaurus Pension 148,Noah Kim,contact.148@client-148.com,AU,189948083.21
CLT-0025,Vega Finance 25,Karen Hughes,contact.25@client-25.com,SG,189846119.03
CLT-0268,Centaurus Pension 268,Noah Kim,contact.268@client-268.com,AU,189768783.67
CLT-0384,Saturn Trust 384,James Taylor,contact.384@client-384.com,LU,189596127.54
CLT-0699,Horizon Trust 699,James Taylor,contact.699@client-699.com,LU,189396577.40
CLT-0658,Centaurus Pension 658,Noah Kim,contact.658@client-658.com,AU,189225075.63
CLT-0705,Aurora Capital 705,Alice Johnson,contact.705@client-705.com,US,188588507.45
CLT-0818,Pinnacle Wealth 818,Iris Clark,contact.818@client-818.com,IT,188522770.26
CLT-0304,Nexus Group 304,Emma Davis,contact.304@client-304.com,NL,187999731.26
CLT-0289,Phoenix Group 289,Emma Davis,contact.289@client-289.com,NL,187967182.81
CLT-0327,Andromeda Insurance 327,Maria Santos,contact.327@client-327.com,JP,187901582.89
CLT-0566,Sirius Bank 566,Liam Chen,contact.566@client-566.com,HK,187788426.79
CLT-0803,Jupiter Wealth 803,Iris Clark,contact.803@client-803.com,IT,187700528.08
CLT-0863,Jupiter Wealth 863,Iris Clark,contact.863@client-863.com,IT,187668572.11
CLT-0456,Vertex Asset Management 456,Grace Lee,contact.456@client-456.com,BE,187638449.10
CLT-0652,Neptune Securities 652,Henry Martin,contact.652@client-652.com,ES,187615068.27
CLT-0410,Olympus Holdings 410,Frank Wilson,contact.410@client-410.com,CH,187572621.97
CLT-0518,Pinnacle Wealth 518,Iris Clark,contact.518@client-518.com,IT,186980760.95
CLT-0748,Centaurus Pension 748,Noah Kim,contact.748@client-748.com,AU,186844233.66
CLT-0599,Rigel Global 599,Olivia Patel,contact.599@client-599.com,CA,186687287.94
CLT-0086,Sirius Bank 86,Liam Chen,contact.86@client-86.com,HK,186232687.19
CLT-0943,Solaris Pension 943,Noah Kim,contact.943@client-943.com,AU,186208245.24
CLT-0493,Solaris Pension 493,Noah Kim,contact.493@client-493.com,AU,186131300.89
CLT-0266,Sirius Bank 266,Liam Chen,contact.266@client-266.com,HK,185973674.53
CLT-0228,Titan Fund 228,David Brown,contact.228@client-228.com,FR,185968087.53
CLT-0451,Zenith Partners 451,Bob Smith,contact.451@client-451.com,GB,185882366.99
CLT-0336,Vertex Asset Management 336,Grace Lee,contact.336@client-336.com,BE,185661029.31
CLT-0010,Sterling Finance 10,Karen Hughes,contact.10@client-10.com,SG,185629251.96
CLT-0794,Polaris Global 794,Olivia Patel,contact.794@client-794.com,CA,185358090.44
CLT-0606,Vertex Asset Management 606,Grace Lee,contact.606@client-606.com,BE,184994747.98
CLT-0326,Sirius Bank 326,Liam Chen,contact.326@client-326.com,HK,184655141.67
CLT-0073,Solaris Pension 73,Noah Kim,contact.73@client-73.com,AU,184510563.00
CLT-0246,Vertex Asset Management 246,Grace Lee,contact.246@client-246.com,BE,184369142.78
CLT-0021,Pegasus Asset Management 21,Grace Lee,contact.21@client-21.com,BE,184339297.48
CLT-0224,Polaris Global 224,Olivia Patel,contact.224@client-224.com,CA,184228282.29
CLT-0263,Jupiter Wealth 263,Iris Clark,contact.263@client-263.com,IT,184034409.81
CLT-0956,Sirius Bank 956,Liam Chen,contact.956@client-956.com,HK,183289097.16
CLT-0512,Atlas Investments 512,Carol White,contact.512@client-512.com,DE,182780261.68
CLT-0023,Jupiter Wealth 23,Iris Clark,contact.23@client-23.com,IT,182754985.95
CLT-0396,Vertex Asset Management 396,Grace Lee,contact.396@client-396.com,BE,182745879.56
CLT-0206,Sirius Bank 206,Liam Chen,contact.206@client-206.com,HK,182745004.19
CLT-0721,Zenith Partners 721,Bob Smith,contact.721@client-721.com,GB,182712244.34
CLT-0517,Summit Securities 517,Henry Martin,contact.517@client-517.com,ES,182650802.36
CLT-0072,Cascade Insurance 72,Maria Santos,contact.72@client-72.com,JP,182325977.68
CLT-0629,Rigel Global 629,Olivia Patel,contact.629@client-629.com,CA,182289537.22
CLT-0290,Olympus Holdings 290,Frank Wilson,contact.290@client-290.com,CH,182274399.43
CLT-0765,Aurora Capital 765,Alice Johnson,contact.765@client-765.com,US,182100653.50
CLT-0995,Apex Holdings 995,Frank Wilson,contact.995@client-995.com,CH,181858011.90
CLT-0318,Titan Fund 318,David Brown,contact.318@client-318.com,FR,181739236.11
CLT-0028,Centaurus Pension 28,Noah Kim,contact.28@client-28.com,AU,181646107.17
CLT-0773,Jupiter Wealth 773,Iris Clark,contact.773@client-773.com,IT,181310997.53
CLT-0163,Solaris Pension 163,Noah Kim,contact.163@client-163.com,AU,181281053.37
CLT-0121,Zenith Partners 121,Bob Smith,contact.121@client-121.com,GB,181175703.61
CLT-0335,Apex Holdings 335,Frank Wilson,contact.335@client-335.com,CH,180880337.13
CLT-0527,Helios Investments 527,Carol White,contact.527@client-527.com,DE,180772402.53
CLT-0596,Sirius Bank 596,Liam Chen,contact.596@client-596.com,HK,180694095.33
CLT-0872,Atlas Investments 872,Carol White,contact.872@client-872.com,DE,180477228.05
CLT-0002,Atlas Investments 2,Carol White,contact.2@client-2.com,DE,180047419.26
CLT-0537,Andromeda Insurance 537,Maria Santos,contact.537@client-537.com,JP,180034200.57
CLT-0353,Jupiter Wealth 353,Iris Clark,contact.353@client-353.com,IT,179758854.53
CLT-0884,Polaris Global 884,Olivia Patel,contact.884@client-884.com,CA,179692700.41
CLT-0426,Vertex Asset Management 426,Grace Lee,contact.426@client-426.com,BE,179525674.97
CLT-0845,Apex Holdings 845,Frank Wilson,contact.845@client-845.com,CH,179335556.15
CLT-0848,Pinnacle Wealth 848,Iris Clark,contact.848@client-848.com,IT,178765653.08
CLT-0356,Sirius Bank 356,Liam Chen,contact.356@client-356.com,HK,178578894.22
CLT-0466,Quantum Partners 466,Bob Smith,contact.466@client-466.com,GB,178346515.99
CLT-0856,Quantum Partners 856,Bob Smith,contact.856@client-856.com,GB,178311749.17
CLT-0071,Meridian Bank 71,Liam Chen,contact.71@client-71.com,HK,178014186.26
CLT-0067,Summit Securities 67,Henry Martin,contact.67@client-67.com,ES,177825666.16
CLT-0799,Phoenix Group 799,Emma Davis,contact.799@client-799.com,NL,177791264.37
CLT-0226,Quantum Partners 226,Bob Smith,contact.226@client-226.com,GB,177666658.11
CLT-0408,Titan Fund 408,David Brown,contact.408@client-408.com,FR,177522127.11
CLT-0288,Titan Fund 288,David Brown,contact.288@client-288.com,FR,177280954.53
CLT-0777,Andromeda Insurance 777,Maria Santos,contact.777@client-777.com,JP,176915356.09
CLT-0016,Quantum Partners 16,Bob Smith,contact.16@client-16.com,GB,176144706.57
CLT-0209,Rigel Global 209,Olivia Patel,contact.209@client-209.com,CA,176131489.50
CLT-0049,Phoenix Group 49,Emma Davis,contact.49@client-49.com,NL,176123792.39
CLT-0976,Quantum Partners 976,Bob Smith,contact.976@client-976.com,GB,176023633.70
CLT-0676,Quantum Partners 676,Bob Smith,contact.676@client-676.com,GB,175985406.15
CLT-0826,Quantum Partners 826,Bob Smith,contact.826@client-826.com,GB,175926321.40
CLT-0684,Saturn Trust 684,James Taylor,contact.684@client-684.com,LU,175876591.96
CLT-0712,Neptune Securities 712,Henry Martin,contact.712@client-712.com,ES,175833374.34
CLT-0814,Nexus Group 814,Emma Davis,contact.814@client-814.com,NL,175759760.79
CLT-0881,Meridian Bank 881,Liam Chen,contact.881@client-881.com,HK,175486166.38
CLT-0313,Solaris Pension 313,Noah Kim,contact.313@client-313.com,AU,175124706.13
CLT-0403,Solaris Pension 403,Noah Kim,contact.403@client-403.com,AU,175043797.90
CLT-0484,Nexus Group 484,Emma Davis,contact.484@client-484.com,NL,174785653.09
CLT-0835,Vega Finance 835,Karen Hughes,contact.835@client-835.com,SG,174745663.01
CLT-0477,Andromeda Insurance 477,Maria Santos,contact.477@client-477.com,JP,174516248.29
CLT-0696,Vertex Asset Management 696,Grace Lee,contact.696@client-696.com,BE,174216618.54
CLT-0657,Andromeda Insurance 657,Maria Santos,contact.657@client-657.com,JP,173995896.04
CLT-0802,Neptune Securities 802,Henry Martin,contact.802@client-802.com,ES,173995265.05
CLT-0944,Polaris Global 944,Olivia Patel,contact.944@client-944.com,CA,173791116.57
CLT-0742,Neptune Securities 742,Henry Martin,contact.742@client-742.com,ES,173631330.12
CLT-0329,Rigel Global 329,Olivia Patel,contact.329@client-329.com,CA,173541968.18
CLT-0829,Phoenix Group 829,Emma Davis,contact.829@client-829.com,NL,173478573.41
CLT-0026,Sirius Bank 26,Liam Chen,contact.26@client-26.com,HK,173451692.71
CLT-0747,Andromeda Insurance 747,Maria Santos,contact.747@client-747.com,JP,173441049.33
CLT-0149,Rigel Global 149,Olivia Patel,contact.149@client-149.com,CA,173421198.98
CLT-0279,Horizon Trust 279,James Taylor,contact.279@client-279.com,LU,173355133.06
CLT-0154,Nexus Group 154,Emma Davis,contact.154@client-154.com,NL,173274157.69
CLT-0674,Polaris Global 674,Olivia Patel,contact.674@client-674.com,CA,173064649.45
CLT-0635,Apex Holdings 635,Frank Wilson,contact.635@client-635.com,CH,173003746.61
CLT-0564,Saturn Trust 564,James Taylor,contact.564@client-564.com,LU,172811434.58
